cer,thal,neo,directP,indirectBootLLCI,indirectBootULCI,a_pval,b_pval,linmod_pval
Right_I_IV,Left_CM,L_assocAudMean,0.285162,-7.00E-06,-1.00E-06,0.000048,0.03317,0.555532584
Right_I_IV,Left_PuA,L_postCingMean,0.483127,-6.00E-06,-1.00E-06,0.002885,0.006351,0.355182765
Right_V,Left_CM,L_assocAudMean,0.441604,-5.00E-06,-1.00E-06,0.001745,0.042801,0.634452501
Right_V,Left_PuA,L_postCingMean,0.456459,-6.00E-06,-1.00E-06,0.004689,0.005564,0.412293338
Right_IX,Left_CM,L_antCingMean,0.508224,-1.00E-05,-1.00E-06,0.000624,0.011355,0.277260834
Right_Dentate,Left_Pf,L_tpjMean,0.306472,-2.30E-05,-2.00E-06,0.006231,0.01282,0.751615834
Right_Dentate,Left_PuL,L_tpjMean,0.151325,3.00E-06,2.30E-05,0.004388,0.031897,0.751615834
Right_Interposed,Left_PuM,L_insOperMean,0.05882,-0.000259,-2.00E-06,0.001117,0.001291,0.892018057
Right_Interposed,Left_CM,L_antCingMean,0.696607,-9.30E-05,-1.00E-06,0.036381,0.009142,0.487668534
Right_Interposed,Left_PuA,L_postCingMean,0.931281,-9.80E-05,-1.40E-05,0.000276,0.023456,0.09683085
Right_Interposed,Left_Pf,L_insOperMean,0.645503,-0.000123,-1.00E-06,0.040824,0.138478,0.892018057
Right_Interposed,Left_Pf,L_tpjMean,0.562836,-0.000129,-1.00E-06,0.040824,0.019646,0.707393308
